service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20250203,20250411
2,1,1,1,1,0,0,0,20250203,20250411
3,0,1,0,0,0,0,0,20250203,20250411
4,0,0,0,1,0,0,0,20250203,20250411
5,0,0,0,0,1,0,0,20250203,20250411
6,1,0,0,0,0,0,0,20250203,20250411
7,0,1,1,1,1,0,0,20250203,20250411
8,1,1,1,0,1,0,0,20250203,20250411
9,1,1,0,1,1,0,0,20250203,20250411
10,1,1,0,1,0,0,0,20250203,20250411
11,0,0,0,0,0,1,0,20250203,20250411
12,0,0,0,0,0,0,1,20250203,20250411
14,0,1,1,0,1,0,0,20250203,20250411
16,0,1,0,1,1,0,0,20250203,20250411
17,0,0,1,0,0,0,0,20250203,20250411
18,1,0,1,1,1,0,0,20250203,20250411
19,0,0,1,1,1,0,0,20250203,20250411
20,0,0,1,1,1,0,0,20250203,20250411
21,1,1,1,1,1,0,0,20250203,20250411
22,1,1,1,1,0,0,0,20250203,20250411
23,0,1,0,0,0,0,0,20250203,20250411
24,0,0,0,1,0,0,0,20250203,20250411
25,0,0,0,0,1,0,0,20250203,20250411
26,1,0,0,0,0,0,0,20250203,20250411
27,0,1,1,1,1,0,0,20250203,20250411
28,1,1,1,0,1,0,0,20250203,20250411
29,1,0,1,0,1,0,0,20250203,20250411
30,1,1,0,1,0,0,0,20250203,20250411
31,1,1,1,1,1,0,0,20250411,20250411
43,0,0,1,0,0,0,0,20250203,20250411
44,1,1,0,1,1,0,0,20250203,20250411
45,1,0,1,1,1,0,0,20250203,20250411
48,1,0,0,1,1,0,0,20250203,20250411
50,0,1,0,1,1,0,0,20250203,20250411
51,1,1,0,0,1,0,0,20250203,20250411
53,1,0,0,1,1,0,0,20250203,20250411
54,0,0,0,1,1,0,0,20250203,20250411
59,1,0,1,0,1,0,0,20250203,20250411
64,1,1,0,0,1,0,0,20250203,20250411
69,1,0,0,0,1,0,0,20250203,20250411
71,0,0,1,0,1,0,0,20250203,20250411
72,1,0,0,0,1,0,0,20250203,20250411
73,0,0,1,0,1,0,0,20250203,20250411
3001,1,1,1,1,1,0,0,20250203,20250411
3002,0,0,0,0,0,1,0,20250203,20250411
3003,0,0,0,0,0,0,1,20250203,20250411
4501,1,1,1,1,1,0,0,20250203,20250411
4502,0,0,0,0,0,1,0,20250203,20250411
4503,0,0,0,0,0,0,1,20250203,20250411
4506,0,0,0,0,1,0,0,20250203,20250411
4509,1,1,1,1,0,0,0,20250203,20250411
4601,1,1,1,1,1,0,0,20250203,20250411
4602,0,0,0,0,0,1,0,20250203,20250411
4603,0,0,0,0,0,0,1,20250203,20250411
5602,0,0,0,0,0,1,0,20250222,20250322
5603,0,0,0,0,0,0,1,20250309,20250309
5606,0,0,0,0,1,0,0,20250221,20250321
8501,1,1,1,1,1,0,0,20250203,20250411
8502,0,0,0,0,0,1,0,20250203,20250411
8503,0,0,0,0,0,0,1,20250203,20250411
